Code,Code (terminaison),DES,Début du nom,Objet,Date de reconnaissance,Dernière modif statuts,Catégorie,Adresse,Adresse.Adr1,Adresse.Adr2,Code Postal,Ville
61.000.0012,0012,D'ACTION ET D'INSERTION SOCIALE - ANAIS,ASSOCIATION,"L'association a pour but d'accueillir, d'éduquer, de former, de promouvoir et insérer, d'héberger et de soigner toutes personnes handicapées ou dépendantes à tous les âges de la vie.",28/08/2007,15/11/2011,18000 services medico-sociaux,SIEGE,"32, rue Eiffel - B.P. 287",,61008,ALENÇON
75.000.0013,0013,"METEO ET CLIMAT, SOCIETE FRANCAISE DE LA  METEOROLOGIE ET DU CLIMAT",,Favoriser le progrès et la diffusion de la météorologie et des sciences du climat.,26/05/1869,07/12/2016,08 Culture et sciences,SIEGE,73 avenue de Paris,,94165,SAINT MANDE
75.000.0014,0014,LA VOIX DE L'ENFANT,ASSOCIATION,Aide à l'enfance en détresse. Force de proposition dans le cadre de l'application de la Convention des droits de l'enfant. Aide et partenariat avec les associations membres et les autres.,19/08/2016,,030000 défense des droits,SIEGE,33-35 rue de la Brèche-aux-loups,,75012,PARIS
92.000.0015,0015,MOUVEMENT DU NID,,Lutter contre la prostitution.,08/09/1986,09/02/2010,19000 interventions sociales,SIEGE,8 bis rue Dagobert - B.P. 63,,91000,CLICHY CEDEX
75.000.0016,0016,ECOLE CENTRALE DES ARTS ET MANUFACTURES,ASSOCIATION DES A.E. DE L',Faciliter à ses membres l'accès à certaines fonctions.,14/08/1867,05/08/2011,15000 éducation formation,SIEGE,"8, rue Jean Goujon",,75006,PARIS
94.000.0017,0017,"COMPAGNIE DES COURTIERS, JURES, EXPERTS, PIQUEURS DE VINS DE PARIS",,Travailler au développement et au maintien de la qualité des vins Français.,19/07/1952,14/10/2008,23000 intérêts économiques,SIEGE,"5 ter, rue du Port aux Lions",,94260,CHARENTON LE PONT
92.000.0018,0018,LOCKED-IN SYNDROME (ALIS),ASSOCIATION DU,"Mieux appréhender la maladie du Locked-in-Syndrome , la faire connaître, inventorier les traitements et proposer des techniques (notamment de communication) pour améliorer les conditions de vie des patients atteints de Locked-in-Syndrome et apporter un soutien à leur famille.",19/08/2016,,,SIEGE,"241, boulevard Jean-Jaurès","3, villa Ronsard",92100,BOULOGNE-BILLANCOURT 
75.000.0019,0019,SOCIETE DE GEOGRAPHIE,,Encourager la science géographique et les recherches.,14/12/1827 (Ord. royale),17/09/2012,16000 recherche,SIEGE,"184, boulevard Saint Germain",,75006,PARIS
33.000.0020,0020,GIRONDINE DE LUTTE CONTRE LES MALADIES RESPIRATOIRES,FEDERATION,Lutter contre la tuberculose et les maladies respiratoires.,05/01/1921,27/07/1979,17000 santé,SIEGE,"4, voie romaine","Espace France
Bâtiment H & I",33610,CANEJEAN
75.000.0021,0021,ENTRAIDE DES TRAVAILLEURS INTELLECTUELS,L',Combattre le chômage en aidant et en assistant les travailleurs chômeurs intellectuels.,29/11/1936,01/06/1956,14000 amicales groupts affinit,SIEGE,"16, rue de l'Elysée",,75008,PARIS
75.000.0022,0022,SOCIETE CENTRALE D'AVICULTURE DE FRANCE (SCAF),,"Étude, perfectionnement et défense des intérêts de toutes les branches de l'aviculture.",16/07/1912,06/09/2004,23000 intérêts économiques,SIEGE,"7, rue du faubourg Poissonnière",,75009,PARIS
75.000.0023,0023,AILES BRISEES,LES,Entraide aux aviateurs mutilés.,19/11/1928,27/03/1984,"38000 armée, anc combattants",SIEGE,"5, rue Christophe Colomb",,75008,PARIS
75.000.0024,0024,CINEMA EDUCATIF ET DES TECHNIQUES AUDIO-VISUELLES,FEDERATION DU,Grouper les personnes physiques et morales s'intéressant aux techniques audio-visuelles.,22/07/1965,16/07/1988,06000 culture,SIEGE,"71, rue de l'Ouest",,75014,PARIS
75.000.0025,0025,EQUIPES D'ACTION CONTRE LE PROXENETISME,,Lutter contre le proxénétisme et aider socialement les personnes en danger de prostitution ou s'y livrant.,04/03/1970,21/07/1992,19000 interventions sociales,SIEGE,"21, rue Ste Croix de la Bretonnerie",,75004,PARIS
61.000.0026,0026,ORPHELINAT AGRICOLE DE GIEL,,"Protection, hospitalisation, éducation et instruction des orphelins afin de les diriger vers le domaine agricole.",29/11/1923,,18000 services medico-sociaux,SIEGE,L'orphelinat,,61210,GIEL-COURTEILLES
75.000.0027,0027,SOCIETE DES AMIS DU MUSEE CERNUSCHI,,Enrichir les collections du musée et assurer un plus large accès et une plus large diffusion.,24/09/1986,,10000 préservation patrimoine,SIEGE,"7, avenue Vélasquez",,75008,PARIS
75.000.0028,0028,UNION CHRETIENNE DE JEUNES GENS DE PARIS,,"Aider les jeunes gens sur le plan spirituel, intellectuel et physique.",17/05/1971,05/06/2002,19000 interventions sociales,SIEGE,"14, rue de Trévise",,75009,PARIS
63.000.0029,0029,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE CLERMONT-FERRAND",,"Travaux sur toutes les questions scientifiques, littéraires, artistiques, économiques et sociales intéressant l'Auvergne ; mission moralisatrice et encouragement au bien.",11/02/1829,02/09/1954,08 Culture et sciences,SIEGE,"19, rue Bardoux",,63000,CLERMONT-FERRAND
75.000.0030,0030,LES JOURS HEUREUX,,"Venir en aide aux familles par des informations et des conseils, de promouvoir et mettre en œuvre tout ce qui pourrait être nécessaire pour le meilleur développement physique, intellectuel et moral de leurs enfants mineurs ou majeurs handicapés mentaux ; accueillir des personnes handicapées mentales au sein d'établissements et de services appropriés avec pour objectifs leur éducation, leur accompagnement, leur réducation, leur adaptation, leur mise au travail, leur insertion sociale, leur hébergement, l'organisation de leurs loisirs, et toute autre action qui apparaitrait nécessaire.",03/12/2014,,19000 interventions sociales,SIEGE,"20, rue Ribera",,75016,PARIS
75.000.0031,0031,SOCIETE FRANCAISE DE DERMATOLOGIE ET PATHOLOGIE SEXUELLEMENT TRANSMISSIBLE (SFDPST),,Développement de la recherche médicale et promotion des actions de santé publique et de prévention.,12/01/1895,24/09/2013,17000 santé,SIEGE,"25, rue de la Boétie",,75008,PARIS
93.000.0032,0032,NORMALISATION (AFNOR),ASSOCIATION FRANCAISE DE,"Exercer  une mission générale de recensement des besoins en normes nouvelles, de diffusion des normes et de promotion de la normalisation.",05/03/1953,16/04/2010,22000 activités économiques,SIEGE,,,93571,LA PLAINE SAINT-DENIS CEDEX
75.000.0033,0033,UNION FRANCAISE DES CENTRES DE VACANCES ET DE LOISIRS (UFCV),,"promouvoir et développer l'animation sociale, éducative et culturelle.",03/05/1934,08/12/2005,09000 action socioculturelle,SIEGE,"10, quai de la Charente",,75019,PARIS
75.000.0034,0034,SOCIETE EQUESTRE DE L'ETRIER,,Développement du sport équestre grâce à une pratique régulière de l'équitation et la préparation des cavaliers aux diplômes d’État,14/02/1913,26/11/2007,11000 sports,SIEGE,Route de Madrid aux lacs - Bois de Boulogne,,75116,PARIS
86.000.0035,0035,SOCIETE DES ANTIQUAIRES DE L'OUEST,,"La recherche, l'étude, la conservation et la description des antiquités, et des documents historiques dans la région comprise entre la Loire et la Dordogne",15/07/1875,,10000 préservation patrimoine,SIEGE,Hôtel de l'échevinage et des grandes écoles,BP 179,84800,POITIERS
75.000.0036,0036,DEPORTES ET INTERNES DE LA RESISTANCE (FNDIR),FEDERATION  NATIONALE DES,"Aide morale et matérielle aux déportés et internés ainsi qu'à leurs familles, et organisation de colonies de vacances, d'études et de centre de sport pour les enfants de ses membres.",01/04/1950,21/04/1993,"38000 armée, anc combattants",SIEGE,"49, rue du Faubourg du Temple",,75010,PARIS
75.000.0037,0037,COMBATTANTS ET DE VICTIMES DE GUERRE (UFAC),UNION FRANCAISE DES ASSOCIATIONS DE,Coordination des associations lors de l'organisation de la paix et de la sécurité nationale.,14/05/1945,22/11/1985,"38000 armée, anc combattants",SIEGE,"2, rue Jean-Baptiste Pigalle",,75009,PARIS
75.000.0038,0038,SOCIETE DES ETUDES JUIVES,,"Favoriser le développement des études relatives à la religion, à l'histoire, aux littératures et aux sociétés juives.",06/10/1896,21/05/2013,08 Culture et sciences,SIEGE,"45, rue La Bruyère",,75009,PARIS
75.000.0039,0039,INSUFFISANTS RENAUX,UNION NATIONALE POUR LES,"Aide médicale, sociale et professionnelle apportée aux malades. .",13/09/1984,,17000 santé,SIEGE,26 rue des Peupliers,,75013,PARIS
14.000.0040,0040,INSTITUT PROFESSIONNEL LEMONNIER,ASSOCIATION DE L',La  formation morale et professionnelle de la jeunesse ouvrière.,28/11/1953,04/10/1967,15000 éducation formation,SIEGE,"60, rue d'Hérouville",BP 269,14013,CAEN  CEDEX 1
92.000.0041,0041,LYCEE MICHELET,ASSOCIATION AMICALE DES A.E. DU,Aide professionnelle aux jeunes gens sortants et institution d'une bourse aux élèves.,31/01/1914,17/09/1982,15000 éducation formation,SIEGE,5 rue Jullien,,92114,VANVES
03.000.0042,0042,MISSIONNAIRE,MAISON DU,Recouvrement de la santé des missionnaires Français.,26/05/1928,,10 Religion,SIEGE,"11, rue Mounin",,03200,VICHY
02.000.0043,0043,ANNE MORGAN (A.M.S.A.M),ASSOCIATION MEDICO-SOCIALE,"Développer le service d'hygiène social à Soissons et dans les villages de l'Aisne, ainsi que l'action sanitaire et sociale en général.",18/01/1925,26/02/2009,17000 santé,SIEGE,"31, rue Anne Morgan - BP 111",,02203,SOISSONS CEDEX
75.000.0044,0044,SOCIETE POUR LA PROTECTION DES PAYSAGES ET DE L'ESTHETIQUE DE LA FRANCE,,Empêcher la dégradation  des sites naturels et urbains. Rappel CPTES 95 et retour à l'expéditeur.,07/11/1936,03/07/1961,24000 environnement,SIEGE,"39, avenue de la Motte-Picquet",,75007,PARIS
75.000.0045,0045,LYCEE CONDORCET,ASSOCIATION AMICALE DES A.E. DU,Aide professionnelle pour les jeunes gens sortant et attribution d'une bourse aux élèves.,13/11/1867,16/07/1966,15000 éducation formation,SIEGE,"65, rue Caumartin",,75009,PARIS
81.000.0046,0046,COLONIE NANCY BEZ,CENTRE EDUCATIF,"La gestion, le contrôle, l'animation d'un centre éducatif protestant comprenant une colonie de vacances. N'a plus d'activité depuis 10 ans au moins. Elle loue à la commune un local dont elle est propriétaire.",20/04/1891,10/10/1955,09000 action socioculturelle,SIEGE,"16, allée du Chateau",,80000,BRASSAC
44.000.0047,0047,ŒUVRES DE PEN-BRON,ASSOCIATION,"La création et l'entretien d'hôpitaux marins, de sanatoria, de préventoria et d'aeria sur la presqu'île de Pen Bron.",03/07/1893,08/01/2000,17000 santé,SIEGE,"10, rue Gaëtan Rondeau",CS 86236,44262,NANTES CEDEX 2
75.000.0048,0048,LAVOISIER,ASSOCIATION AMICALE DES A.E. DE,"Aide professionnelle pour les jeunes gens sortant, et attribution d'une bourse aux élèves.",13/07/1923,23/05/1979,15000 éducation formation,SIEGE,"19 , rue Henri Barbusse",,75005,PARIS
75.000.0050,0050,ENREGISTREMENTS A LA CARTE POUR AVEUGLES,,Faciliter l’accès à la culture et l'intégration des aveugles dans la vie.,30/10/1992,26/11/2007,18000 services medico-sociaux,SIEGE,"42, rue du Louvre",,75001,PARIS
75.000.0051,0051,ASSOCIATION DES ECRIVAINS DE LANGUE FRANCAISE (ADELF),ASSOCIATION DES,Encourager et soutenir les écrivains de langue française et favoriser l'expansion des littératures de  langue  française.,19/07/1952,07/12/1970,06000 culture,SIEGE,"22, rue Deparcieux",,75014,PARIS
46.000.0052,0052,SOCIETE DE DEFENSE DES ANIMAUX DE CAHORS ET DU LOT,,Protéger tous les animaux contre toutes les cruautés et créer un chenil refuge.,12/01/1971,,24000 environnement,SIEGE,Boîte postale 204,,46000,CAHORS
75.000.0053,0053,ŒUVRE DE L'HOSPITALITE FAMILIALE,,Créer et gérer dans un esprit de famille des établissements sanitaires et sociaux.,11/04/1882,19/02/1981,21000 serv familiaux p âgées,SIEGE,"18, rue Jean-Jacques Rousseau",,75001,PARIS
75.000.0054,0054,POUR NOS ENFANTS,,Permettre à des enfants de partir gratuitement en vacances.,21/11/1933,29/05/1992,09000 action socioculturelle,SIEGE,"8 bis, rue de l'Eperon",,75006,PARIS
21.000.0055,0055,SOCIETE D'EMULATION DES ECOLES ET PATRONAGES LAIQUES DE LA VILLE DE BEAUNE,,Favoriser le développement de l'instruction primaire dans les écoles communales de la ville de Beaune,17/12/1889,10/10/1955,15000 éducation formation,SIEGE,Ecole communale de garçons de Beaune,,21000,BEAUNE
28.000.0057,0057,SOCIETE DES AMIS DE MARCEL PROUST ET DES AMIS DE COMBRAY,,Entretenir le souvenir de Marcel Proust  et faire  d'Illiers un centre d'intérêt littéraire.,09/09/1955,15/05/1968,08 Culture et sciences,SIEGE,"4, rue du Docteur Proust",,28120,ILLIERS-COMBRAY
75.000.0058,0058,SOCIETE D'ECONOMIE ET DE SCIENCES  SOCIALES,,Étudier la condition matérielle et morale de tous les groupements  familiaux et  sociaux.,15/05/1869,28/09/1972,16000 recherche,SIEGE,"5, rue Las-Cases",,75007,PARIS
59.000.0059,0059,SOLIDARITE DE L'IMPRIMERIE NATIONALE,LA,"Créer et gérer une maison de résidence  pour les retraités de l'imprimerie,  et une aide morale à l'intérieur de l'imprimerie.",29/08/1955,25/03/2008,14000 amicales groupts affinit,SIEGE,Rue des Frères Beaumont,,59128,FLERS-EN-ESCREBIEUX
75.000.0060,0060,ECOLE NATIONALE SUPERIEURE D' ARTS ET METIERS,SOCIETE DES A.E. DE L',Aide professionnelle pour les jeunes gens sortant et attribution d'une bourse aux élèves.,04/04/1860,17/12/1998,15000 éducation formation,SIEGE,"9 bis, avenue d'Iéna",,75016,PARIS CEDEX 16
49.000.0061,0061,ECOLE SUPERIEURE D'ELECTRONIQUE DE L'OUEST (AETS-ESEO),ASSOCIATION D'ENSEIGNEMENT TECHNIQUE SUPERIEUR DE L',Gestion d'un établissement d'enseignement technique supérieur privé.,10/01/1980,,15000 éducation formation,SIEGE,CS 90717,"10, boulevard Jeanneteau",49107,ANGERS CEDEX2
92.000.0062,0062,AMIS DES ENFANTS DU MONDE,LES,"Aide par des secours en nature et éventuellement par l'adoption des enfants en détresse, où qu'ils se trouvent.",05/08/1992,,20000 caritatives humanit. dev,SIEGE,"9, rue Delerue",,92120,MONTROUGE
94.000.0063,0063,STEPHANE LAMART POUR LA DEFENSE DES DROITS DES ANIMAUX ET DE LEUR ENVIRONNEMENT,ASSOCIATION,"Promouvoir et organiser la défense et la protection d'animaux domestiques et sauvages dans un environnement sain et adéquat, sur le territoire français et dans les autres pays du monde ; protéger l’environnement (terre, mer, air)...",12/04/2013,,24000 environnement,SIEGE,,,94170,FRESNES
59.000.0064,0064,SOCIETE DE PROTECTION ET DE REINSERTION DU NORD (SPREN),,"Aider, protéger, orienter professionnellement et socialement, former pour favoriser la réinsertion des enfants et des adolescents.",02/07/1923,15/06/1992,19000 interventions sociales,SIEGE,BP 56008,,59706,MARCQ-EN-BARŒUL CEDEX
54.000.0065,0065,ŒUVRE ISRAELITE DE SECOURS AUX MALADES,,"Fournir des secours à domicile aux malades pauvres de la communauté israélite de Nancy, d'établir, administrer une maison devant servir d'asile aux vieillards et infirmes pauvres de cette communauté.",16/09/1889,28/08/1930,17000 santé,SIEGE,"53, avenue Hoche",,54000,NANCY
75.000.0066,0066,PARENTS D'ENFANTS AVEUGLES OU GRAVEMENT DEFICIENTS VISUELS AVEC OU SANS HANDICAPS ASSOCIES (ANPEA),ASSOCIATION NATIONALE DES,"- étudier et défendre les intérêts moraux et matériels des familles ayant des enfants aveugles ou gravement déficients visuels, avec ou sans handicaps associés,
- entretenir entre les familles adhérentes l'esprit familial et de solidarité nécessaire et de leur apporter, pour leur(s) enfant(s), l'appui matériel et moral indispensable,
- leur venir en aide par des renseignements et des conseils et, plus généralement, promouvoir et mettre en œuvre tout ce qui pourrait être nécessaire pour le meilleur développement physique, intellectuel et moral des jeunes aveugles ou gravement déficients visuels avec ou sans handicaps associés, afin qu'ils puissent vivre le mieux possible comme les autres, parmi les autres.",19/03/1971,05/09/2005,18000 services medico-sociaux,SIEGE,"3, rue de Metz",,75010,PARIS
75.000.0067,0067,SOCIETE DE L'HISTOIRE DU COSTUME,,Concours à l'animation et à l'expansion  du Musée de la   Mode et du costume de Ville de Paris .,16/07/1912,25/09/1978,06000 culture,SIEGE,"10, avenue Pierre Ier de Serbie",,75016,PARIS
972.000.0068,0068,AIDE AUX RETRAITES ET PERSONNES AGEES (ADARPA),ASSOCIATION DEPARTEMENTALE D',"Porter aux personnes du 3ème âge l'aide matérielle (ménage, courses, repas, etc...) et le soutien moral qui leur sont nécessaires.",12/12/1979,16/06/2014,21000 serv familiaux p âgées,SIEGE,Cité artisanale de Dillon - Morne Calebasse,CS 91005,97247,FORT-DE-FRANCE CEDEX
76.000.0069,0069,FOYER FAMILIAL,ASSOCIATION DU,Protéger la maternité et venir en aide  aux jeunes enfants,16/02/1849,,19000 interventions sociales,SIEGE,"41, route de Neufchatel",,75009,ROUEN
75.000.0070,0070,ŒUVRES HOSPITALIERES FRANCAISES DE L'ORDRE DE MALTE (OHFOM),,"Apporter une assistance aux populations ou catégories sociales marginalisées par les grandes endémies (lèpre, tuberculose, SIDA) ou défavorisées par les handicaps physiques ou mentaux, l'âge, les conflits et les catastrophes naturelles.",19/08/1928,06/07/2012,20000 caritatives humanit. dev,SIEGE,"42, rue des Volontaires",,75015,PARIS
75.000.0071,0071,COMITE FRANCAIS D'UNION ECONOMIQUE ET DOUANIERE EUROPEENNE,,"Étude, en dehors de toute  préoccupation politique, des relations commerciales, industrielles, agricoles, financières et coloniales entre les divers pays d'Europe.",14/04/1933,15/01/1936,16000 recherche,SIEGE,"51, Bd de Beauséjour",,75016,PARIS
75.000.0072,0072,ECOLE DES PARENTS ET EDUCATEURS D'ILE DE FRANCE,,Apprendre à mieux connaître l'enfant et les réalités éducatives et familiales.,12/08/1952,13/06/2011,15000 éducation formation,SIEGE,"5, impasse bon secours",,75011,PARIS
75.000.0073,0073,PRISONNIERS DE GUERRE,FEDERATION  NATIONALE DES,"Réintégration des anciens prisonniers de guerre dans la vie civile, professionnelle, et familiale.",01/04/1948,,"38000 armée, anc combattants",SIEGE,"46, rue Copernic",,75116,PARIS
75.000.0075,0075,FOYER DE L'INSTITUTION NATIONALE DES INVALIDES,LE,Améliorer la situation morale et matérielle des pensionnaires invalides et blessés de l'INI.,24/04/1927,12/06/1980,"38000 armée, anc combattants",SIEGE,"6, boulevard des Invalides",,75007,PARIS
53.000.0076,0076,CLUB D’ETUDE ET DE PROTECTION DES ANIMAUX ET DE LA NATURE (CEPAN),,"Grouper toutes personnes adultes et mineures ou personnes morales légalement constituées, désireuses de :
 - protéger et recueillir tous les animaux à l'exception des chiens et des chats, au Refuge de l'Arche, en fonction de ses capacités. Les pensionnaires peuvent être ainsi classés en trois catégories : les animaux exotiques et sauvages ; les animaux de la ferme devenus trop vieux ou trop encombrants pour leurs propriétaires ; les animaux de la faune locale, trouvés blessés dans la nature. Ils sont soignés puis relâchés dans leur milieu originel. Les animaux non relâchables  (amputés, aveugles, imprégnés de l'homme...) restent en volières.
- parrainer, appuyer, soutenir et encourager un mouvement lancé par les jeunes pour développer parmi la jeunesse l’amour et le respect des animaux et de la nature,
- proposer aux jeunes et organiser pour eux des loisirs sains ayant pour base l’étude et la protection de la Nature,
- mener une action sociale en accueillant des personnes, au sein du refuge de l’Arche et du centre de sauvegarde de la faune sauvage « Valentine et Jacques Perrin », dans un but d’insertion ou de réinsertion sociale ou professionnelle dans le cadre des contrats mis en place par l’État,
- accueillir et encadrer des jeunes en difficultés en liaison avec différents services sociaux, foyers d’accueil, établissements spécialisés,
- organiser des manifestations culturelles ou autres en lien avec les animaux et la nature et l'action sociale.",12/11/2014,,24000 environnement,SIEGE,Route de Ménil,,53200,CHATEAU-GONTIER
75.000.0077,0077,REALITES ET RELATIONS INTERNATIONALES (ARRI),ASSOCIATION,Favoriser les rapports réciproques les plus féconds entre les organismes publics et privés des pays intéressés,07/08/1904,07/08/2007,08 Culture et sciences,Siège,"11, rue Nicolo",,75116,PARIS
54.000.0078,0078,ŒUVRES SOCIALES ET ENTRAIDE PROTESTANTES (OSEP),,"Aider les indigents et les malades , recevoir des enfants dans sa colonie de vacances ainsi que des vieillards dans sa maison de retraite.",18/06/1908,11/01/1999,14000 amicales groupts affinit,SIEGE,6 rue Chanzy,,54000,NANCY
75.000.0079,0079,CENTRE DE SANTE HAHNEMANN,,Venir en aide aux malades pauvres et indigents en leur donnant des consultations et des soins.,21/07/1937,22/07/1965,17000 santé,SIEGE,"1, rue Vergniaud",,75013,PARIS
22.000.0080,00080,LES ENFANTS DE TCHERNOBYL BELARUS,,"Aide aux enfants dans les régions du Bélarus contaminées à la suite de la catastrophe de Tchernobyl ; aide à la recherche indépendante liée à la catastrophe de Tchernobyl ; diffusion d'information sur les conséquences de la catastrophe de Tchernobyl ; collaboration avec des organisations d'autres pays ayant les mêmes objectifs. L'association encourage le parrainage de communes ou d'écoles des régions sinistrées, par des communes ou des écoles françaises.",03/12/2014,12/03/2016,20000 caritatives humanit. Dev,SIEGE,Résidence “Les Clairières”,"3, Avenue Pierre Poivre - Appt D11",49240,AVRILLE
93.000.0081,0081,EDUCATION POPULAIRE SAINT-DENIS FIDELIS,ASSOCIATION D',"Gestion d'immeubles à des fins scolaires , éducatives ou culturelles.",24/06/1980,,09000 action socioculturelle,SIEGE,,,93100,MONTREUIL
75.000.0082,0082,MUTILES DE GUERRE DES YEUX ET DES OREILLES,ASSOCIATION DES,Soutenir les intérêts matériels et moraux de ses membres. Assurer l'assistance médicale et juridique ainsi qu'une aide professionnelle.,05/07/1930,13/01/2015,"38000 armée, anc combattants",SIEGE,"29, rue  Guillaume Tell",,75017,PARIS
75.000.0083,0083,SOCIETE NATIONALE D'ENTRAIDE DE LA MEDAILLE MILITAIRE (SNEMM),,Aide pécuniaire aux médaillés militaires et aux veuves et éducation des orphelins.,20/12/1922,26/02/2013,"38000 armée, anc combattants",SIEGE,"36 , rue de la Bienfaisance",,75008,PARIS
29.000.0084,0084,LEUCEMIE ESPOIR,FEDERATION,Soutenir des enfants et des adultes atteints de maladies du sang et leur famille.,13/10/2008,,17000 santé,SIEGE,"37, rue Paul Valéry",,29000,QUIMPER
49.000.0085,0085,FONTEVRAUD-CENTRE CULTUREL DE L'OUEST,,"Animer et promouvoir l'ensemble architectural dénommé""Abbaye royale de Fontevraud"".",09/03/1989,,08 Culture et sciences,SIEGE,Fontevraud l'Abbaye,,49590,FONTEVRAUD L'ABBAYE
01.000.0086,0086,BON REPOS,ASSOCIATION LE,"Promouvoir et animer toute action sociale et humaine et notamment l'accueil des personnes âgées, des isolés, des handicapés.",08/02/1977,11/07/2007,21000 serv familiaux p âgées,SIEGE,"2, rue du Docteur Roux",,01000,BOURG-EN-BRESSE
25.000.0087,0087,HYGIENE SOCIALE DE FRANCHE-COMTE,ASSOCIATION D',"MISSION ""HANDICAP ET INADAPTATION"" MISSION ""ACTION SOCIALE ET INSERTION"" MISSION ""SANTE PUBLIQUE""",23/07/1921,17/03/1958,17000 santé,SIEGE,B.P. 5,,25012,BESANÇON
25.000.0088,0088,SOCIETE D'EMULATION DE MONTBELIARD,,"Encourager et propager le Bien , le goût et la culture des sciences , des lettres et arts à Montbéliard.",29/03/1984,,08 Culture et sciences,SIEGE,BP 251,,25204,MONTBELIARD
33.000.0089,0089,SOURDS ET DES AVEUGLES,INSTITUTION REGIONALE DES,"Assurer , promouvoir et faciliter l'instruction , l'éducation et le patronage des jeunes sourds et aveugles dans le Sud-Ouest de la France.",26/03/1924,28/03/2001,18000 services medico-sociaux,SIEGE,"156, boulevard Président Wilson",,33000,BORDEAUX
50.000.0090,0090,AMIS DU MONT SAINT-MICHEL,LES,Protéger le Mont Saint Michel et conserver son insularité et son caractère historique et artistique.,16/04/1918,15/10/2013,08 Culture et sciences,SIEGE,BP9,,50170,LE MONT SAINT-MICHEL
75.000.0091,0091,ARMENIENNE D'AIDE  SOCIALE,ASSOCIATION,"Venir en aide aux personnes âgées, aux malades et aux économiquement faibles sur le territoire de la métropole.",08/06/1956,29/04/2004,14000 amicales groupts affinit,SIEGE,"77, rue Lafayette",,75009,PARIS
75.000.0093,0093,FOYERS FEMININS DE FRANCE ET RESTAURANTS FAMILIAUX,,"Aider matériellement et moralement les jeunes filles et femmes qui travaillent ainsi que les hommes et les jeunes gens employés dans les administrations publiques et privées, le commerce et l'industrie.",10/03/1975,25/02/1981,19000 interventions sociales,SIEGE,"5, rue d'Hauteville",,75010,PARIS
38.000.0094,0094,OZANAM,ASSOCIATION,"Améliorer les conditions de vie des familles et des personnes seules ayant peu de ressources, en créant des centres d'accueil, d'aide par le travail et de formation professionnelle.",10/03/1972,26/07/2001,18000 services medico-sociaux,SIEGE,"2, bis rue Berthe de Boissieux",,38000,GRENOBLE
